19,35,0.992,,0.008,
0.232,0.277,0.232,,0,
0.559,0.528,0.559,,1,
0.209,0.195,0.209,,0,
36,49,0.951913889,0.948944898,0.048086111,0.051055102
0.257333333,0.239477551,0.257333333,0.239477551,0.051990064,0.045569013
0.697,0.700130612,0.697,0.700130612,0.671018428,0.609425591
0.045666667,0.060391837,0.045666667,0.060391837,0.276991508,0.345005396
10,18,0.9796,0.977333333,0.0204,0.022666667
0.246,0.227777778,0.246,0.227777778,0,0
0.52952,0.5228,0.52952,0.5228,0,0
0.22448,0.249422222,0.22448,0.249422222,1,1
32,44,0.9215125,0.903881818,0.0784875,0.096118182
0.087725,0.1276,0.087725,0.1276,0.22296544,0.264825499
0.692125,0.666545455,0.692125,0.666545455,0.706243032,0.681121725
0.22015,0.205854545,0.22015,0.205854545,0.070791527,0.054052776
