19,35,0.992131579,0.990602857,0.007868421,0.009397143
0.231736842,0.27676,0.231736842,0.27676,0,0
0.559,0.528497143,0.559,0.528497143,1,1
0.209263158,0.194742857,0.209263158,0.194742857,0,0
28,44,0.884828571,0.895127273,0.115171429,0.104872727
0.22,0.245,0.22,0.245,0.188786902,0.230885922
0.7254,0.690472727,0.7254,0.690472727,0.738929546,0.675299064
0.0546,0.064527273,0.0546,0.064527273,0.072283552,0.093815014
12,21,0.926,0.928714286,0.074,0.071285714
0.1376,0.157257143,0.1376,0.157257143,0,0
0.76355,0.758014286,0.76355,0.758014286,0.371621622,0.440881764
0.09885,0.084728571,0.09885,0.084728571,0.628378378,0.559118236
33,48,0.944172727,0.923654167,0.055827273,0.076345833
0.056818182,0.104166667,0.056818182,0.104166667,0.508874776,0.682202696
0.771836364,0.733858333,0.771836364,0.733858333,0.483308907,0.312394259
0.171345455,0.161975,0.171345455,0.161975,0.007816317,0.005403045
