8,15,1,1,0,0
0.366675,0.39112,0.366675,0.39112,0,0
0.008325,0.00888,0.008325,0.00888,0,0
0.625,0.6,0.625,0.6,0,0
21,33,0.976704762,0.978845455,0.023295238,0.021154545
0.102042857,0.129872727,0.102042857,0.129872727,0.145952575,0.204555221
0.807633333,0.783909091,0.807633333,0.783909091,0.854047425,0.795444779
0.09032381,0.086218182,0.09032381,0.086218182,0,0
7,11,0.9524,0.954563636,0.0476,0.045436364
0.2088,0.221454545,0.2088,0.221454545,0,0
0.553085714,0.551254545,0.553085714,0.551254545,0,0
0.238114286,0.227290909,0.238114286,0.227290909,1,1
18,27,0.963416667,0.959351852,0.036583333,0.040648148
0.089433333,0.09937037,0.089433333,0.09937037,0,0
0.748966667,0.73902963,0.748966667,0.73902963,1,1
0.1616,0.1616,0.1616,0.1616,0,0
